Timestamp,Latitude,Longitude,Tree_no,Tree_sp,Usnea,Evernia,Hypogymnia,Melanelixia,Flavoparmelia,Parmelia, Leafy_Xanthoria,Cushion_Xanthoria,Physcia
28/01/2019 13:12,52.4505,-1.9306,2,Sweet Chestnut,0,3,1,0,1,0,1,0,0
28/01/2019 13:15,52.4505,-1.9306,2,sweet chestnut ,0,3,1,0,1,0,1,0,0
28/01/2019 13:12,52.446498,-1.930344,1,NA,0,0,1,1,2,0,0,0,0
28/01/2019 13:12,52.4466288,-1.930133,1,London Blane,0,0,0,1,0,0,0,0,0
28/01/2019 13:14,52.4466288,-1.930133,1,London Blane,0,0,0,1,0,0,0,0,0
28/01/2019 13:14,52.4466288,-1.930133,1,London Blane,0,0,0,1,0,0,0,0,0
28/01/2019 13:14,52.4466288,-1.930133,1,London Blane,0,0,0,1,0,0,0,0,0
28/01/2019 13:19,52.4466288,-1.930133,2,London Blane,1,1,1,3,1,1,1,1,1
28/01/2019 13:12,52.4529,-1.9296,1,Sycamore,0,0,1,1,0,0,0,0,0
28/01/2019 13:12,52.4529,-1.9296,1,Sycamore,0,0,1,1,0,0,0,0,0
28/01/2019 13:12,52.4529,-1.9296,1,Sycamore,0,0,1,1,0,0,0,0,0
28/01/2019 13:14,52.4529,-1.9296,1,sycamore,0,0,1,1,0,0,0,0,0
28/01/2019 13:12,52.4548,-1.9292,2,NA,3,0,0,0,0,2,1,0,0
28/01/2019 13:14,52.4548,-1.9292,2,NA,3,0,0,0,0,2,1,0,0
28/01/2019 13:22,52.4548,-1.9292,2,NA,3,0,0,0,0,2,1,0,0
28/01/2019 13:12,52.453,-1.9291,2,elm,0,0,0,2,1,1,0,0,0
28/01/2019 13:13,52.453,-1.9291,2,Elm,0,0,0,2,1,1,0,0,0
28/01/2019 13:13,52.453,-1.9291,2,Elm,0,0,0,2,1,1,0,0,0
28/01/2019 13:14,52.453,-1.9291,2,Elm,0,0,0,2,1,1,0,0,0
28/01/2019 13:13,52.46055,-1.928948,2,NA,0,0,0,0,1,0,2,0,0
28/01/2019 13:15,52.46055,-1.928948,2,NA,0,0,2,1,3,0,0,2,0
28/01/2019 13:23,52.450516,-1.9285237,2,NA,0,1,2,1,3,2,0,0,2
28/01/2019 13:14,52.447569,-1.92811,1,Horse Chestnut,0,0,1,1,2,0,0,0,0
28/01/2019 13:18,52.4438646,-1.9280087,1,London Blane,0,0,0,1,0,0,0,0,0
28/01/2019 13:13,52.4483646,-1.9280087,2,London Blane,1,1,0,3,0,0,0,0,0
28/01/2019 13:15,52.4483646,-1.9280087,2,London Blane,0,0,0,3,0,0,0,0,0
28/01/2019 13:15,52.4483646,-1.9280087,2,London Blane,1,0,0,3,0,1,0,1,0
28/01/2019 13:16,52.4483646,-1.9280087,2,London Blane,0,1,0,3,1,0,0,0,1
28/01/2019 13:06,52.446925,-1.927765,1,Chestnut,0,0,1,1,2,0,0,0,0
07/02/2020 13:11,52.449993,-1.927584,1,London Plane,0,0,0,0,0,0,0,0,2
07/02/2020 12:55,52.450045,-1.927572,1,London Plane,0,0,0,0,0,0,0,0,2
28/01/2019 13:22,52.4479352,-1.927420028,2,Horse chestnut,0,1,0,0,0,0,0,0,0
28/01/2019 13:13,52.4479352,-1.92742,2,oak,0,0,1,1,0,3,2,0,1
28/01/2019 13:13,52.4479352,-1.92742,2,Oak,0,0,0,1,1,0,3,2,0
28/01/2019 13:13,52.4479352,-1.92742,2,Oak,1,1,3,2,1,2,1,3,2
28/01/2019 13:16,52.4479352,-1.92742,2,Oak,0,0,0,1,1,0,3,0,0
28/01/2019 13:16,52.4479352,-1.92742,2,Horse Chestnut,0,0,1,1,2,0,0,1,1
28/01/2019 13:14,52.4503,-1.9274,2,oak,0,0,1,1,2,1,2,1,3
28/01/2019 13:14,52.4503,-1.9274,1,oak ,0,0,0,0,0,0,0,0,0
28/01/2019 13:13,52.4504,-1.9274,1,oak,0,0,0.5,0,0,0,0,0,0
28/01/2019 13:19,52.4475907,-1.9273668,1,Horse Chestnut,0,0,0,0,0,0,2,0,0
28/01/2019 13:11,52.4475907,-1.9273663,1,chestnut,0,3,2,0,0,1,3,1,0
28/01/2019 13:12,52.4475907,-1.9273663,1,Oak,0,0,1,1,1,2,1,0,0
28/01/2019 13:12,52.4475907,-1.9273663,1,Oak,0,0,2,1,1,2,1,1,0
28/01/2019 13:12,52.4475907,-1.9273663,1,NA,0,0,1,1,1,2,1,0,0
28/01/2019 13:15,52.4475907,-1.9273663,1,Horse Chestnut,1,1,0,0,1,1,0,0,0
28/01/2019 13:10,52.4502972,-1.9269325,2,Sweet Chesnut,0,0,0,0,0,0,0,0,1
07/02/2020 12:08,52.4502972,-1.9269325,2,Sweet Chestnut,0,0,0,0,0,0,0,0,1
07/02/2020 13:07,52.4569179,-1.9267809,1,Oak,0,0,0,0,0,0,0,0,0
28/01/2019 13:17,52.457681,-1.926563,1,Oak,0,0,2,0,1,0,0,0,0
28/01/2019 13:21,52.457747,-1.926392,1,Oak,0,0,2,0,1,0,0,0,0
28/01/2019 13:15,52.4577879,-1.9263347,1,Oak,0,0,2,0,1,0,0,0,0
28/01/2019 13:22,52.4577879,-1.9263347,1,Oak,0,0,2,0,1,0,0,0,0
28/01/2019 13:22,52.4577879,-1.9263347,1,Oak,0,0,2,0,0,2,0,0,0
28/01/2019 13:22,52.4577876,-1.9263346,1,oak,0,0,2,0,0,2,0,0,0
07/02/2020 13:06,52.4578297,-1.9263005,1,Oak,0,0,3,0,1,0,0,0,0
28/01/2019 13:21,52.4577,-1.9262,2,0,0,0,0,0,1,0,0,0,0
28/01/2019 13:15,52.458015,-1.926125,1,Oak,1,0,0,2,0,0,0,0,0
28/01/2019 13:18,52.457827,-1.926076,2,Ash,1,1,0,2,0,0,1,0,0
28/01/2019 13:09,52.4584,-1.9259,1,oak,0,0,1,0,1,0,0,0,0
28/01/2019 13:13,52.4584,-1.9259,1,oak,0,0,1,0,1,0,0,0,0
07/02/2020 13:09,52.4584,-1.9259,1,Oak,0,0,1,0,1,0,0,0,0
03/02/2020 09:11,52.4583,-1.9258,1,Oak,0,0,0,0,2,0,0,3,1
07/02/2020 13:02,52.4583,-1.9258,2,Sycamore,0,0,2,0,0,0,0,0,0
07/02/2020 13:10,52.4583,-1.9258,2,Sycamore,0,0,3,0,0,0,0,0,0
28/01/2019 13:20,52.4577,-1.9257,1,NA,0,0,3,0,0,0,0,0,0
07/02/2020 13:07,52.4568908,-1.9256065,2,sycamore,0,0,0,0,1,0,1,0,0
07/02/2020 13:01,52.4585,-1.9256,2,Oak,0,0,1,0,0,1,3,1,1
